,title,company,salary,summary,location,link
44,Fully Remote Ruby on Rails Developer Role - Fintech,GCS Recruitment Specialists Ltd,"£45,000 - £95,000 a year","Fully Remote or London based.
You have a growth mindset and constantly seek to understand blind spots and challenges - whether it's a customer's unique need or…",London•Remote,https://uk.indeed.com/rc/clk?jk=9bf20362e8a7fd1e&fccid=9edab1e8e49ca60f&vjs=3
45,"Consultant - Senior Consultant, Full Stack Developer, Public...",Deloitte,,"Including: customer and channel strategy, customer experience design, designing new service capabilities and operations, mobile, online and contact centre…",London,https://uk.indeed.com/rc/clk?jk=29cb6dd2d91a8766&fccid=9e215d88a6b33622&vjs=3
46,SDK Software Engineer,Ledger,,"Foster our developer community by participating and animating Ledger external developer community.
Curious to learn how blockchain works under the hood and…",London,https://uk.indeed.com/rc/clk?jk=9f213064136d5190&fccid=f4ec96da440899f2&vjs=3
47,"Manager, Java Developer, Deloitte Digital, Consulting, Londo...",Deloitte,,"Including: customer and channel strategy, customer experience design, designing new service capabilities and operations, mobile, online and contact centre…",London,https://uk.indeed.com/rc/clk?jk=e3ceb9489cc14dc4&fccid=9e215d88a6b33622&vjs=3
48,Senior Software Engineer (Fully Remote),La Fosse Associates,"£70,000 - £95,000 a year","This is an extremely secure blockchain, one of the most resilient in the market and requires no on chain governance.
£70000 - £95000 per annum + Company Equity.",London•Remote,https://uk.indeed.com/rc/clk?jk=4a8d7c02bab960fb&fccid=eef0ccdb6f0c00eb&vjs=3
49,Microsoft Dynamics Developer IBM CIC,IBM,,"Keeping abreast of the latest cloud technologies and sharing knowledge of tools and techniques with the wider team, both developers and non-developers.",London,https://uk.indeed.com/rc/clk?jk=5e247c2d8e0bd6a3&fccid=de71a49b535e21cb&vjs=3
50,Software Developer in Test (Trading / Remote),SoCode,£400 - £700 a day,"Contracts will be offered for 12 months at a Competitive rate and OUTSIDE of IR35.
Trading/Financial Market Experience (Essential).",London•Temporarily Remote,https://uk.indeed.com/rc/clk?jk=6e4c7c58faa7da0d&fccid=8f35589a37e69470&vjs=3
51,Cloud Architect - IBM Garage for Cloud - UK,IBM,,"IBM Cloud is trailblazing new technology platform and services, DevOps, business models, developer outreach, and with the creation of the Garage - a new type of…",London,https://uk.indeed.com/rc/clk?jk=57520c46c919a8bb&fccid=de71a49b535e21cb&vjs=3
52,Application Architect,IBM,,You will define the scope and vision for projects that deliver customized solutions using your knowledge of IBM platforms.,London,https://uk.indeed.com/rc/clk?jk=561ae196ee0f240e&fccid=de71a49b535e21cb&vjs=3
53,"Senior Software Engineer, DevOps (Liquidity)",Ripple,,"These solutions will include developer infrastructure, capacity & load testing, CI/CD infrastructure and release process automation.",London,https://uk.indeed.com/rc/clk?jk=60c1359b81f4b813&fccid=5831e1f260dfbb85&vjs=3
54,"ReactJS Developers, Lead Developers and Team Leads",Accenture,,"Provide technical leadership to onshore and offshore developer team members on client projects.
Locations: London (must be willing to be based at and travel to…",London,https://uk.indeed.com/rc/clk?jk=1d083fbb950180ed&fccid=a4e4e2eaf26690c9&vjs=3
55,Lead Ruby Developer,Searchability,"£100,000 a year","Remote-first with ad hoc trips into our London office.
Salary up to £100K + remote working allowance, learning budget, pension, mental health days & support,…",London,https://uk.indeed.com/rc/clk?jk=f41d31d97c00dfdf&fccid=2c97f9555235f285&vjs=3
56,Python SDET,SoCode,£450 - £600 a day,Our client has entered an exciting phase of their development - raising £40m through a Token sale and will now be looking to significantly grow the Engineering…,London,https://uk.indeed.com/rc/clk?jk=ba81727079cfecb8&fccid=8f35589a37e69470&vjs=3
57,Lead Java Developer,GFT Technologies SE,,"Other sectors, such as industry and insurance, also leverage GFT’s strong consulting and implementation skills across all aspects of pioneering technologies,…",London EC2N,https://uk.indeed.com/rc/clk?jk=da6e287862d67fcb&fccid=9c7e8e5419364b6c&vjs=3
58,Senior Java Developer,GFT Technologies SE,,"Other sectors, such as industry and insurance, also leverage GFT’s strong consulting and implementation skills across all aspects of pioneering technologies,…",London EC4N 7BL,https://uk.indeed.com/rc/clk?jk=f1830cd7e4d36025&fccid=9c7e8e5419364b6c&vjs=3
59,Python Automation QA Engineer - Trading/Finance Experience,SoCode,£500 - £600 a day,Our client has entered an exciting phase of their development - raising £40m through a Token sale and will now be looking to significantly grow the Engineering…,London,https://uk.indeed.com/rc/clk?jk=9efb37394330a73e&fccid=8f35589a37e69470&vjs=3
60,"Senior Software Engineer, Crypto, Trading, Remote",SoCode,"£100,000 - £200,000 a year","Understanding of financial markets or open source blockchain.
Understanding of financial markets or open source blockchain.",London•Remote,https://uk.indeed.com/rc/clk?jk=646779ee4aa40469&fccid=8f35589a37e69470&vjs=3
61,Full Stack JavaScript Developer (React/Node),Linux Recruit,"£60,000 - £90,000 a year","Key tech is ""full stack JavaScript"" meaning you'll be using mainly React and Node with micro-services.
From time to time there may also be use of TypeScript and…",London,https://uk.indeed.com/rc/clk?jk=cd891bbc0c1fc3ce&fccid=c7414b794cb89c1c&vjs=3
62,Software Engineer - Backend,Visa,,"We are looking for hands-on software engineers with a passion to build innovative products.
This role requires quick problem solving skills, logical thinking,…",London,https://uk.indeed.com/rc/clk?jk=5cd5ca96b58ec0b3&fccid=a3f737e511d9fc8c&vjs=3
63,"Solution Architect, Deloitte Ventures, Financial Advisory, L...",Deloitte,,"From product to full stack developers and data scientists, these venture builders all share a passion for innovative and emerging digital solutions.",London,https://uk.indeed.com/rc/clk?jk=1cdbd564ae1bbb8c&fccid=9e215d88a6b33622&vjs=3
64,Senior Engineer (C++ / TypeScript) - Blockchain,Searchability,"£100,000 a year","FULL STACK DEVELOPER (C++ / TYPESCRIPT) - BLOCKCHAIN.
BRAND NEW PERMANENT JOB OPPORTUNITY WITH A LONDON START-UP THAT HAVE JUST RECEIVED SERIES A FUNDING.",London,https://uk.indeed.com/rc/clk?jk=e802516771681aa3&fccid=2c97f9555235f285&vjs=3
65,Fully Remote React Developer Role - Fintech,GCS Recruitment Specialists Ltd,"£45,000 - £95,000 a year","Fully Remote or London based.
You have a growth mindset and constantly seek to understand blind spots and challenges - whether it's a customer's unique need or…",London•Remote,https://uk.indeed.com/rc/clk?jk=6fb0b9ac307611e5&fccid=9edab1e8e49ca60f&vjs=3
66,Data Engineer IBM CIC,IBM,,"The Data Engineer will work with our software developers, database architects, data analysts and data scientists on data initiatives.",London,https://uk.indeed.com/rc/clk?jk=053e2eea8251419d&fccid=de71a49b535e21cb&vjs=3
67,Senior Software Engineer - Payment Systems,IBM,,"Deep experience leading squads of 5-10 developers in an Agile DevOps environment.
Work closely with Architects, Product Managers and other developers to design,…",London,https://uk.indeed.com/rc/clk?jk=d5954b13215fe63c&fccid=de71a49b535e21cb&vjs=3
